id,month,status,total_expense,total_income,user_id
"8","2023-06-01","DRAFT","9000.00","100000.00","1"
"42","2023-06-01","DRAFT","70334.00","68000.00","12"
"76","2023-06-01","DRAFT","4800.00","5000.00","66"
"84","2023-04-01","DRAFT","0.00","500.00","81"
"85","2023-04-01","DRAFT","100.00","0.00","12"
"88","2023-07-01","DRAFT","46583.00","44000.00","12"
"320","2023-08-01","DRAFT","65249.00","55000.00","12"
"495","2023-09-01","DRAFT","81551.00","55000.00","12"
"597","2023-10-01","DRAFT","125992.00","117000.00","12"
"810","2023-11-01","DRAFT","80543.00","79700.00","12"
"988","2023-12-01","DRAFT","84511.00","80700.00","12"
"1133","2024-01-01","DRAFT","125411.00","101700.00","12"
"1300","2023-02-01","DRAFT","16000.00","115000.00","1095"
"1314","2024-02-01","DRAFT","16000.00","115000.00","1095"
"1343","2024-02-01","DRAFT","100510.00","101700.00","12"
"1507","2024-03-01","DRAFT","99211.00","93500.00","12"
"1624","2024-03-01","DRAFT","0.00","0.00","1095"
"1632","2024-04-01","DRAFT","108210.00","95000.00","12"
"1777","2024-05-01","DRAFT","91711.00","95000.00","12"
"1971","2024-10-01","DRAFT","91711.00","95000.00","12"
"2066","2025-01-01","DRAFT","0.00","0.00","12"
"2099","2025-02-01","DRAFT","0.00","0.00","1095"
"2141","2025-03-01","DRAFT","135310.00","137000.00","12"
"2198","2025-05-01","DRAFT","144710.00","137000.00","12"
"2234","2025-06-01","DRAFT","144710.00","137000.00","12"
"2260","2025-07-01","DRAFT","144710.00","137000.00","12"
"2289","2025-08-01","DRAFT","141780.00","137000.00","12"
"2435","2025-09-01","DRAFT","141680.00","137000.00","12"
